2
РЕГ start. size: 2
ТОИАС start. size: 1
k: k: 0
sock for recv: 5
0
sock for recv: 4
channel from: 7
РЕГ accepted
k: 1
РЕГ finish
channel from: 6
ТОИАС accepted
ТОИАС finish
after join
after join
ТОИАС получил сообщений 9999 цепочек 9999
ТОИАС отправил сообщений 9999 цепочек 9999
Mаксимальная длина очереди: 248
РЕГ получил сообщений 19998 цепочек 9999
Mаксимальная длина очереди: 223
ТОИАС
3 833763084156
6 833768940941
16 833785135079
3 833788172974
11 833798535669
2 833803321141
4 833804572953
13 833818306697
2 833820292225
9 833820308233
2 833821910970
2 833823862365
2 833825928226
3 833829100202
9 833838627163
4 833842490574
2 833844475009
2 833846320997
4 833856940669
11 833861224677
2 833863566003
3 833865778360
24 833896795768
9 833898756109
2 833901533357
3 833905258267
5 833907006211
13 833920371572
2 833921977348
3 833924396130
2 833926994393
3 833936829875
13 833943591374
7 833957081594
9 833959008634
2 833960790318
2 833963348009
2 833965292841
2 833966826264
22 833996722304
5 833996731236
10 833999288723
2 834002268869
3 834004278329
2 834004282189
4 834016703277
10 834018488825
2 834020629806
2 834022499430
3 834024737466
2 834027601692
3 834037027832
10 834039567986
10 834056724399
10 834060384058
3 834066006982
5 834067840028
2 834076743782
11 834081353856
2 834097483710
17 834100905007
2 834102549540
3 834104803777
3 834116520702
10 834118461654
3 834121050838
2 834122789569
2 834124707022
3 834128228345
13 834140749297
8 834156734388
10 834158897839
2 834160967045
2 834162449690
5 834168615484
15 834182463275
2 834196714324
14 834199192214
2 834201251110
2 834203409712
3 834206200179
2 834207551255
12 834220091979
5 834225319233
2 834227005442
2 834237418526
13 834241632997
2 834244432779
14 834258557668
4 834262214276
3 834264635783
2 834266749880
20 834298254521
13 834300489004
3 834302467310
3 834306919187
2 834319305336
14 834323457962
4 834327328564
5 834327337083
2 834338249120
12 834341299879
6 834347376755
12 834359728062
3 834362263665
2 834364257448
2 834366165513
2 834368466631
11 834378835005
2 834380284279
6 834387323078
2 834396429520
9 834398207298
3 834400971767
2 834403249174
3 834406283185
2 834408086624
16 834423709133
4 834428729391
9 834437845145
2 834440442722
3 834442797526
2 834444852109
3 834447656877
10 834459520204
3 834461983153
2 834463870903
4 834469241891
10 834478783545
2 834480829386
9 834497718969
10 834499688916
2 834502571591
2 834504211042
3 834506431981
13 834520949113
5 834525859162
3 834528884556
10 834539329609
3 834541768609
3 834544738130
2 834546982784
17 834564381183
3 834567460870
3 834569350662
8 834578141134
3 834580604125
2 834583027484
3 834585562952
5 834598219527
11 834602193839
3 834605406380
3 834607550664
9 834618296548
5 834623497969
2 834625172763
5 834629333522
8 834638304556
4 834641924959
2 834643604669
2 834646010753
2 834648280195
12 834663971040
